distancia_km,tiempo_min,velocidad_kmh,carga_kg,peso_vehiculo_kg,capacidad_kg,cilindraje_l,rendimiento_km_l,factor_trafico,factor_clima,hora_sin,hora_cos,tipo_via_codigo,detenciones_estimadas,pendiente_pct,consumo_base_l,consumo_real_l,fuente
2.97919,5.98635,29.85986,145.951,1400.0,500.0,4.245,13.7274,1.1837,1.0175,-0.96593,0.25882,3,2,0.5897,0.217026,0.323742,SIMULADO_CONTROLADO
1.82072,2.03077,53.79391,233.257,6500.0,500.0,1.282,9.8871,1.0,1.0851,-0.96593,-0.25882,2,3,1.946,0.184151,0.23714,SIMULADO_CONTROLADO
0.12297,0.36473,20.22993,500.436,9000.0,1200.0,1.715,7.3368,1.0241,1.0057,0.0,-1.0,3,0,4.6648,0.016761,0.022351,SIMULADO_CONTROLADO
0.82924,1.43123,34.76334,2450.16,4200.0,7000.0,2.102,10.9043,1.3448,1.0206,0.5,-0.86603,2,0,4.2662,0.076047,0.112027,SIMULADO_CONTROLADO
0.52927,1.178,26.95784,273.788,1400.0,1200.0,1.795,12.9721,1.2541,1.0588,-0.70711,-0.70711,3,0,3.6728,0.040801,0.063062,SIMULADO_CONTROLADO
1.7426,2.17817,48.00165,2628.03,900.0,7000.0,4.013,14.9772,1.3439,1.0452,-0.70711,0.70711,2,3,4.5143,0.11635,0.198125,SIMULADO_CONTROLADO
2.64455,9.02327,17.58489,692.577,4200.0,1800.0,3.304,13.1491,1.4096,1.0047,0.0,-1.0,0,1,1.7328,0.20112,0.329286,SIMULADO_CONTROLADO
2.53937,7.18218,21.21394,388.196,1400.0,500.0,5.447,13.874,1.0363,0.98,-0.86603,-0.5,3,8,0.036,0.183031,0.245722,SIMULADO_CONTROLADO
5.57522,11.65245,28.70756,862.487,900.0,1800.0,1.816,15.5879,1.3998,1.0342,-0.25882,-0.96593,1,5,2.1706,0.357664,0.598389,SIMULADO_CONTROLADO
1.9161,1.91939,59.89703,563.765,1400.0,1200.0,3.485,12.5817,1.0,1.0023,-0.70711,-0.70711,2,3,2.3369,0.152293,0.167653,SIMULADO_CONTROLADO
4.66825,10.11931,27.67929,459.055,1400.0,800.0,3.47,15.0912,1.2794,1.0363,-0.86603,-0.5,1,4,3.919,0.309336,0.497777,SIMULADO_CONTROLADO
1.55408,4.68945,19.88391,577.172,2200.0,2500.0,2.423,14.2872,1.0811,1.0161,0.25882,0.96593,0,2,3.574,0.108774,0.130356,SIMULADO_CONTROLADO
2.89489,5.20128,33.39433,357.755,2200.0,800.0,1.709,14.9433,1.0112,1.0027,0.5,0.86603,3,2,4.6222,0.193725,0.243276,SIMULADO_CONTROLADO
1.68136,4.77721,21.11733,2641.758,1400.0,7000.0,1.257,16.2752,1.2583,1.0229,0.0,1.0,3,2,0.0,0.103308,0.14888,SIMULADO_CONTROLADO
2.48056,3.40081,43.76421,2483.681,6500.0,4000.0,1.3,11.8183,1.3112,1.0317,-1.0,-0.0,2,3,0.8241,0.209891,0.367845,SIMULADO_CONTROLADO
1.93476,3.7055,31.32794,2271.727,6500.0,4000.0,3.313,7.6716,1.3064,1.0663,-0.70711,0.70711,1,3,2.3081,0.252197,0.438142,SIMULADO_CONTROLADO
1.12272,2.95522,22.79454,93.791,1400.0,500.0,1.488,13.3838,1.1944,1.054,0.86603,-0.5,3,2,3.5066,0.083886,0.126824,SIMULADO_CONTROLADO
2.54512,3.76968,40.50942,4918.393,2200.0,7000.0,3.291,13.4968,1.1811,1.1292,0.25882,0.96593,2,1,6.8982,0.188573,0.282061,SIMULADO_CONTROLADO
3.03449,5.99105,30.39027,461.184,6500.0,1800.0,3.518,7.8098,1.2443,1.0414,0.0,1.0,1,1,0.4477,0.388552,0.567491,SIMULADO_CONTROLADO
3.42765,5.84732,35.17152,1809.626,9000.0,4000.0,3.561,5.0829,1.2086,1.0047,0.5,-0.86603,1,2,1.0093,0.674349,0.963863,SIMULADO_CONTROLADO
2.31315,9.264,14.98157,580.944,6500.0,800.0,2.216,10.967,1.2466,1.0275,-0.70711,-0.70711,0,1,1.611,0.210919,0.365025,SIMULADO_CONTROLADO
0.12298,0.30818,23.94421,3608.339,2800.0,4000.0,3.843,11.2597,1.1926,1.0606,0.96593,-0.25882,0,0,0.9343,0.010922,0.019075,SIMULADO_CONTROLADO
2.63913,3.86031,41.01946,716.416,9000.0,1200.0,3.279,6.511,1.2948,1.0802,-0.5,-0.86603,2,1,0.6347,0.405331,0.673367,SIMULADO_CONTROLADO
0.64292,1.62154,23.78924,2063.377,6500.0,2500.0,6.444,5.6423,1.0,1.0954,0.70711,0.70711,3,1,2.5964,0.113947,0.163463,SIMULADO_CONTROLADO
2.23471,5.55561,24.13465,604.619,4200.0,800.0,1.44,12.2274,1.139,0.9892,-0.96593,-0.25882,0,1,4.5657,0.182762,0.274342,SIMULADO_CONTROLADO
2.47136,7.05551,21.01643,4437.708,900.0,7000.0,1.486,16.8509,1.0,1.0926,0.96593,-0.25882,3,4,2.7506,0.146661,0.21817,SIMULADO_CONTROLADO
0.32237,1.43582,13.4713,1404.206,4200.0,2500.0,5.57,11.7492,1.2043,1.0329,-0.25882,0.96593,3,1,0.6946,0.027438,0.042736,SIMULADO_CONTROLADO
2.01286,4.01232,30.10014,1359.379,2200.0,1800.0,2.61,14.8795,1.4227,0.9933,-1.0,-0.0,1,3,2.0879,0.135277,0.238158,SIMULADO_CONTROLADO
0.47702,0.57785,49.53066,1759.199,4200.0,1800.0,2.174,11.7276,1.0841,1.0258,0.25882,-0.96593,2,0,0.319,0.040675,0.051413,SIMULADO_CONTROLADO
0.10689,0.32205,19.91484,222.41,4200.0,500.0,5.835,11.5082,1.1804,1.0895,-0.5,0.86603,0,0,4.5644,0.009288,0.015295,SIMULADO_CONTROLADO
0.46463,1.41041,19.76556,340.758,900.0,1200.0,4.023,14.8055,1.281,1.0556,-0.25882,0.96593,3,1,5.5894,0.031382,0.051236,SIMULADO_CONTROLADO
1.82101,2.0301,53.8202,1181.304,2800.0,4000.0,4.464,11.6646,1.0,0.9805,0.86603,0.5,2,1,0.0,0.156114,0.163581,SIMULADO_CONTROLADO
1.7358,2.80174,37.1726,2184.329,2800.0,4000.0,1.242,14.0991,1.0765,0.9808,-0.25882,-0.96593,1,2,2.981,0.123115,0.147985,SIMULADO_CONTROLADO
1.31336,4.92618,15.99644,4825.591,900.0,7000.0,2.582,16.0009,1.2183,0.98,-0.70711,-0.70711,0,2,0.8658,0.08208,0.123934,SIMULADO_CONTROLADO
2.95118,6.38529,27.73107,83.465,6500.0,500.0,2.574,7.7485,1.0,1.0021,0.86603,-0.5,3,7,2.632,0.38087,0.513627,SIMULADO_CONTROLADO
1.65561,2.69113,36.91253,541.769,9000.0,800.0,5.233,4.3728,1.0037,1.0385,-0.25882,0.96593,1,3,2.3203,0.378617,0.493137,SIMULADO_CONTROLADO
2.6642,8.42937,18.96373,1569.838,900.0,4000.0,3.243,14.4681,1.3361,0.9843,-0.86603,-0.5,3,3,0.0,0.184143,0.289277,SIMULADO_CONTROLADO
3.40539,5.31836,38.41846,987.589,900.0,1200.0,4.26,12.7167,1.3205,1.0157,-1.0,-0.0,2,3,5.0385,0.267788,0.464807,SIMULADO_CONTROLADO
8.44506,26.75488,18.93873,552.034,900.0,800.0,6.139,11.8542,1.2199,1.0981,0.86603,0.5,3,9,2.1814,0.712412,1.264836,SIMULADO_CONTROLADO
1.84514,4.64713,23.82292,317.675,2800.0,800.0,6.419,10.8068,1.3012,1.1078,-0.70711,0.70711,3,1,1.513,0.170738,0.30078,SIMULADO_CONTROLADO
4.47167,9.8483,27.24334,2225.271,4200.0,7000.0,1.875,13.1467,1.1944,1.1048,-0.25882,0.96593,0,1,2.7442,0.340136,0.527734,SIMULADO_CONTROLADO
2.36742,3.72326,38.15075,3040.198,1400.0,7000.0,4.146,14.902,1.2489,0.98,-0.70711,0.70711,1,5,0.6717,0.158866,0.219806,SIMULADO_CONTROLADO
2.46938,3.78192,39.17659,233.47,6500.0,500.0,4.905,8.6778,1.1095,1.1103,0.5,-0.86603,1,3,2.1143,0.284561,0.39749,SIMULADO_CONTROLADO
1.86479,3.00594,37.22219,3108.213,2200.0,4000.0,5.345,12.6111,1.1785,1.0391,-0.5,0.86603,1,4,0.0,0.147869,0.217118,SIMULADO_CONTROLADO
2.21672,6.27112,21.20885,856.356,2200.0,1800.0,6.077,14.5705,1.0588,1.0385,0.0,1.0,0,4,0.0,0.152137,0.201128,SIMULADO_CONTROLADO
1.66797,2.55908,39.10703,888.4,4200.0,4000.0,5.06,9.8757,1.3622,1.0813,0.86603,0.5,2,3,0.4628,0.168896,0.271228,SIMULADO_CONTROLADO
3.95556,11.59067,20.47627,1576.275,9000.0,2500.0,4.857,6.1038,1.4034,1.0667,-0.70711,-0.70711,0,8,1.382,0.64805,1.319666,SIMULADO_CONTROLADO
1.07293,1.4393,44.72704,1579.846,1400.0,2500.0,1.487,14.2242,1.3808,0.98,-1.0,-0.0,2,0,0.0,0.07543,0.124767,SIMULADO_CONTROLADO
0.45963,0.57195,48.21704,1966.795,2200.0,2500.0,4.088,11.4157,1.0947,1.0074,0.5,0.86603,2,0,1.4553,0.040263,0.052497,SIMULADO_CONTROLADO
1.27717,2.96145,25.87589,1962.85,2200.0,4000.0,4.373,14.2538,1.0074,1.0185,0.96593,-0.25882,3,3,1.3792,0.089602,0.119868,SIMULADO_CONTROLADO
1.16387,1.69428,41.21628,2844.902,2800.0,4000.0,4.891,11.6326,1.3643,0.98,0.5,0.86603,2,1,2.3707,0.100052,0.156948,SIMULADO_CONTROLADO
1.27659,1.99931,38.31086,911.636,2800.0,1800.0,4.292,13.1025,1.247,1.0799,0.5,0.86603,1,2,3.7897,0.097431,0.150893,SIMULADO_CONTROLADO
1.78885,5.34455,20.08233,158.872,9000.0,500.0,3.37,6.1881,1.2126,1.0998,0.0,1.0,3,6,6.0954,0.289079,0.52199,SIMULADO_CONTROLADO
1.28062,1.78751,42.98548,89.696,1400.0,500.0,3.784,15.3934,1.0586,1.0345,-0.25882,0.96593,1,2,3.3993,0.083193,0.104024,SIMULADO_CONTROLADO
1.769,3.87662,27.37954,452.857,2200.0,1200.0,6.327,10.7563,1.2281,1.0484,-0.70711,0.70711,1,1,0.4334,0.164462,0.241869,SIMULADO_CONTROLADO
1.284,4.15445,18.54392,244.624,1400.0,1800.0,2.944,15.6718,1.0,1.0345,-0.5,-0.86603,3,1,3.8996,0.08193,0.099815,SIMULADO_CONTROLADO
2.70518,6.71772,24.16164,3624.177,4200.0,7000.0,5.358,11.4621,1.2614,1.0395,0.0,1.0,1,2,5.4413,0.236011,0.369291,SIMULADO_CONTROLADO
8.39519,20.25111,24.87328,237.978,6500.0,500.0,4.419,6.3577,1.3806,1.0853,-0.96593,-0.25882,0,16,0.1474,1.320478,2.659092,SIMULADO_CONTROLADO
2.33234,4.33898,32.252,2483.761,9000.0,7000.0,3.552,5.7812,1.421,0.98,0.0,-1.0,1,1,0.2643,0.403434,0.63923,SIMULADO_CONTROLADO
1.32887,3.43372,23.22035,427.741,2800.0,500.0,3.396,13.8968,1.2734,1.0569,-1.0,-0.0,3,3,0.0,0.095624,0.171663,SIMULADO_CONTROLADO
0.12761,0.28056,27.29055,370.518,1400.0,1800.0,4.047,15.7435,1.0,1.0355,0.25882,-0.96593,0,0,1.3146,0.008105,0.009285,SIMULADO_CONTROLADO
6.63361,12.06355,32.99334,509.329,9000.0,1200.0,5.439,6.4111,1.1916,1.0029,0.0,1.0,1,14,3.2838,1.034709,1.430103,SIMULADO_CONTROLADO
2.4301,7.48315,19.48454,1077.436,900.0,1800.0,1.847,14.7928,1.5023,1.0123,-0.70711,0.70711,0,4,5.6147,0.164276,0.307084,SIMULADO_CONTROLADO
1.7566,1.76714,59.64238,88.79,900.0,500.0,6.026,12.2261,1.021,1.1175,-0.70711,0.70711,2,2,4.3725,0.143677,0.175394,SIMULADO_CONTROLADO
0.14028,0.19448,43.2802,3495.366,9000.0,4000.0,5.303,6.2936,1.1505,0.98,-0.70711,0.70711,1,0,3.3096,0.02229,0.034889,SIMULADO_CONTROLADO
1.82975,3.27965,33.47468,454.115,9000.0,500.0,3.05,6.1163,1.3862,1.0274,-0.70711,-0.70711,1,3,2.5961,0.299158,0.553343,SIMULADO_CONTROLADO
2.2026,5.25317,25.15741,2553.832,2800.0,4000.0,1.254,13.1754,1.2587,1.1083,-0.5,0.86603,0,1,3.3222,0.167175,0.286094,SIMULADO_CONTROLADO
1.28798,1.90015,40.66984,315.905,2200.0,1800.0,1.758,13.74,1.5568,0.98,0.25882,0.96593,2,1,3.4459,0.093739,0.146774,SIMULADO_CONTROLADO
0.56056,0.65027,51.72224,5291.336,9000.0,7000.0,1.965,8.1737,1.0427,1.0145,0.70711,-0.70711,2,1,5.2367,0.068581,0.10083,SIMULADO_CONTROLADO
0.52213,1.33905,23.39532,2999.375,9000.0,7000.0,1.749,9.3807,1.0016,1.0369,0.96593,-0.25882,3,1,2.4561,0.05566,0.074892,SIMULADO_CONTROLADO
6.70289,13.2031,30.46056,2249.217,9000.0,4000.0,1.745,8.4471,1.3559,1.0536,0.25882,-0.96593,1,15,3.0497,0.793512,1.599925,SIMULADO_CONTROLADO
2.15505,4.95696,26.08514,1757.928,6500.0,1800.0,6.289,7.6815,1.0,1.0314,0.0,1.0,0,2,1.6422,0.28055,0.370375,SIMULADO_CONTROLADO
1.287,3.59952,21.45293,581.738,4200.0,1200.0,4.69,9.6105,1.1285,0.9947,-0.96593,0.25882,3,3,2.7381,0.133916,0.205932,SIMULADO_CONTROLADO
2.0587,2.84761,43.3774,2025.459,2200.0,2500.0,5.549,13.1039,1.1495,1.0551,0.96593,-0.25882,2,4,1.9618,0.157105,0.239095,SIMULADO_CONTROLADO
1.95261,2.57003,45.58572,606.13,2800.0,2500.0,4.183,14.3162,1.3258,1.0305,0.5,0.86603,2,3,0.0019,0.136392,0.192732,SIMULADO_CONTROLADO
0.4946,1.14064,26.01677,2631.793,2800.0,4000.0,4.483,13.3868,1.2583,1.0632,0.86603,0.5,0,1,4.3339,0.036947,0.063458,SIMULADO_CONTROLADO
3.77788,5.69847,39.77791,196.236,2800.0,1800.0,5.869,11.8081,1.2331,1.0766,0.5,0.86603,1,7,5.6253,0.31994,0.506656,SIMULADO_CONTROLADO
1.72048,6.33259,16.30119,774.388,9000.0,1800.0,2.588,6.2484,1.0956,0.98,-0.86603,-0.5,3,1,2.4214,0.275348,0.371252,SIMULADO_CONTROLADO
2.17751,5.01247,26.06514,339.121,1400.0,500.0,4.881,13.8178,1.3544,1.0815,-0.5,0.86603,3,3,3.1973,0.157588,0.296252,SIMULADO_CONTROLADO
5.27286,18.56267,17.04343,599.879,900.0,800.0,5.966,14.8006,1.8,1.0235,0.5,0.86603,1,9,4.3095,0.356259,0.822622,SIMULADO_CONTROLADO
0.57838,2.3318,14.88243,1040.274,2800.0,4000.0,6.162,11.7057,1.2706,1.0721,0.0,1.0,3,2,2.199,0.04941,0.080232,SIMULADO_CONTROLADO
1.02395,3.27206,18.77617,3691.257,1400.0,7000.0,3.553,13.8768,1.1759,1.0572,-0.70711,0.70711,3,3,2.8981,0.073788,0.110021,SIMULADO_CONTROLADO
2.52662,3.20971,47.23088,1824.661,6500.0,2500.0,5.741,7.092,1.0,1.1184,0.70711,-0.70711,1,2,2.0443,0.356261,0.468048,SIMULADO_CONTROLADO
3.72659,9.11454,24.53172,838.283,6500.0,1200.0,3.87,11.8656,1.058,1.0353,0.5,0.86603,3,9,1.346,0.314066,0.435102,SIMULADO_CONTROLADO
1.18621,1.95898,36.33128,336.121,9000.0,500.0,2.567,5.7758,1.1258,1.0169,0.86603,0.5,1,2,3.5953,0.205374,0.292185,SIMULADO_CONTROLADO
1.24546,3.01926,24.75039,389.589,2200.0,500.0,2.53,12.4814,1.0745,1.0119,-0.86603,-0.5,0,1,3.5763,0.099785,0.130904,SIMULADO_CONTROLADO
3.14084,4.48527,42.01543,1974.166,9000.0,2500.0,3.594,6.5795,1.1574,0.9883,0.5,0.86603,2,4,4.4373,0.477371,0.686965,SIMULADO_CONTROLADO
7.97134,11.22555,42.60643,1114.706,900.0,2500.0,2.567,14.7026,1.4445,1.0714,0.70711,-0.70711,2,18,2.4929,0.542171,1.051183,SIMULADO_CONTROLADO
2.11109,5.01432,25.26074,313.52,9000.0,800.0,1.359,8.6165,1.3595,0.9854,-0.25882,0.96593,0,3,0.0,0.245007,0.383289,SIMULADO_CONTROLADO
1.02102,2.2322,27.44426,308.523,1400.0,800.0,1.759,16.0768,1.1346,1.071,0.5,-0.86603,3,1,4.8261,0.063509,0.092093,SIMULADO_CONTROLADO
0.76862,1.45999,31.58727,177.522,900.0,500.0,5.701,12.0775,1.0,1.0249,0.70711,0.70711,0,1,0.9575,0.063641,0.076216,SIMULADO_CONTROLADO
1.7847,13.38525,8.0,1171.505,6500.0,2500.0,5.877,6.9485,1.374,0.98,-1.0,-0.0,3,2,0.9212,0.256845,0.457581,SIMULADO_CONTROLADO
3.60885,10.28166,21.05991,914.819,2800.0,2500.0,5.827,10.5273,1.1522,1.102,0.5,-0.86603,0,6,1.3829,0.342809,0.541998,SIMULADO_CONTROLADO
10.27354,22.94953,26.85949,865.976,2200.0,1200.0,4.135,13.8808,1.0,0.98,0.70711,-0.70711,3,28,0.0,0.740125,1.067576,SIMULADO_CONTROLADO
1.55587,5.14491,18.14454,3461.448,1400.0,4000.0,6.157,13.3435,1.274,1.0313,1.0,0.0,3,4,2.043,0.116601,0.188875,SIMULADO_CONTROLADO
2.11366,7.61896,16.64524,2316.215,2200.0,4000.0,3.845,12.6239,1.3241,1.0455,-1.0,-0.0,3,7,3.8006,0.167433,0.307314,SIMULADO_CONTROLADO
5.97833,7.09074,50.58709,1196.475,4200.0,1800.0,3.651,11.4165,1.0,0.98,0.25882,-0.96593,2,11,1.5894,0.523656,0.628873,SIMULADO_CONTROLADO
2.49614,3.35477,44.64356,68.069,1400.0,800.0,3.714,12.5771,1.0281,1.0549,0.25882,-0.96593,1,3,5.3102,0.198468,0.237816,SIMULADO_CONTROLADO
2.34444,2.8149,49.97209,350.399,9000.0,500.0,2.547,5.9629,1.1423,1.0049,-1.0,-0.0,2,3,5.18,0.393172,0.580779,SIMULADO_CONTROLADO
5.22852,8.99378,34.88092,1088.103,6500.0,4000.0,4.452,6.9368,1.2775,1.0238,0.86603,-0.5,1,7,4.3675,0.75374,1.204815,SIMULADO_CONTROLADO
2.15153,6.24601,20.66787,1142.501,9000.0,2500.0,3.579,6.5638,1.0775,1.0954,-0.70711,-0.70711,3,4,0.0,0.327785,0.479022,SIMULADO_CONTROLADO
0.8306,0.91835,54.26663,808.865,900.0,1200.0,6.366,13.4055,1.0269,1.0414,0.86603,0.5,2,0,5.5108,0.06196,0.076952,SIMULADO_CONTROLADO
4.52885,9.86128,27.55535,337.679,9000.0,500.0,2.112,5.8686,1.2763,1.0192,-0.25882,-0.96593,1,8,2.0019,0.771711,1.282465,SIMULADO_CONTROLADO
0.40856,0.48862,50.16874,2343.615,9000.0,4000.0,1.607,7.7825,1.0851,1.0273,0.5,-0.86603,2,0,6.0247,0.052497,0.068,SIMULADO_CONTROLADO
4.02179,7.0965,34.00373,5024.877,2200.0,7000.0,3.061,14.6911,1.2467,1.1149,0.0,-1.0,2,3,1.2315,0.273758,0.444621,SIMULADO_CONTROLADO
1.98778,5.02651,23.72754,427.022,2800.0,1800.0,2.342,11.9093,1.0,1.0532,0.86603,-0.5,0,2,2.2064,0.166909,0.212069,SIMULADO_CONTROLADO
1.5693,3.27955,28.71075,590.027,2800.0,800.0,6.457,10.9027,1.0,0.9952,0.70711,0.70711,0,3,2.6882,0.143937,0.178966,SIMULADO_CONTROLADO
1.53667,2.80052,32.92255,1874.384,6500.0,2500.0,4.16,9.2441,1.2808,1.013,-0.5,0.86603,0,1,0.5421,0.166232,0.262207,SIMULADO_CONTROLADO
1.77927,6.00136,17.78863,2899.634,1400.0,7000.0,3.107,14.1944,1.2004,0.9814,0.70711,-0.70711,0,3,0.0,0.12535,0.182813,SIMULADO_CONTROLADO
1.3892,3.07053,27.14577,1107.625,9000.0,2500.0,4.607,4.2806,1.3076,1.0147,-0.96593,-0.25882,1,1,0.0,0.324532,0.551091,SIMULADO_CONTROLADO
2.76674,3.18993,52.04012,308.247,2800.0,500.0,3.601,12.0504,1.0748,1.1074,-0.70711,0.70711,2,2,8.7009,0.229597,0.32573,SIMULADO_CONTROLADO
1.43013,1.42227,60.33185,407.738,900.0,800.0,2.307,14.4932,1.0328,1.0275,0.5,-0.86603,2,0,0.0,0.098676,0.110594,SIMULADO_CONTROLADO
1.99913,3.83293,31.29395,130.582,2200.0,500.0,3.291,13.1146,1.3777,0.98,-0.96593,0.25882,1,1,0.0,0.152436,0.237027,SIMULADO_CONTROLADO
0.23581,0.5088,27.80857,875.876,900.0,1200.0,2.718,14.7236,1.0,1.0544,0.5,-0.86603,3,0,3.7012,0.016016,0.020712,SIMULADO_CONTROLADO
1.98899,3.05343,39.08381,513.769,6500.0,1800.0,4.579,10.3185,1.3602,1.0173,0.25882,0.96593,2,2,0.0,0.192759,0.275997,SIMULADO_CONTROLADO
1.3661,4.13243,19.83487,821.272,2200.0,1800.0,5.528,12.0623,1.3713,1.0603,-0.70711,0.70711,0,2,0.0,0.113254,0.185653,SIMULADO_CONTROLADO
3.82069,11.69906,19.59486,637.362,2800.0,4000.0,2.592,10.9721,1.2976,1.0241,-0.86603,0.5,3,3,0.0,0.34822,0.535336,SIMULADO_CONTROLADO
1.62253,1.95681,49.75025,310.72,2200.0,500.0,4.493,12.8875,1.05,1.1,-0.25882,-0.96593,2,1,3.1147,0.125899,0.161289,SIMULADO_CONTROLADO
3.44406,3.66854,56.32853,3393.913,4200.0,7000.0,4.955,12.6676,1.0294,0.994,-0.96593,0.25882,2,1,0.2529,0.27188,0.323392,SIMULADO_CONTROLADO
3.17395,4.49107,42.40342,496.648,9000.0,800.0,3.161,6.377,1.1264,0.9826,-0.86603,-0.5,2,6,3.8511,0.497719,0.632997,SIMULADO_CONTROLADO
3.23597,3.31554,58.55995,1475.946,9000.0,1800.0,3.784,5.7715,1.0,1.0772,-0.96593,0.25882,2,3,2.3408,0.560678,0.806628,SIMULADO_CONTROLADO
1.66929,3.34142,29.9745,680.043,9000.0,800.0,3.102,6.2381,1.0061,0.98,0.25882,0.96593,0,2,2.6796,0.267597,0.365206,SIMULADO_CONTROLADO
2.09026,2.93832,42.6828,784.942,2200.0,1200.0,3.176,14.0716,1.2632,1.0273,-0.96593,0.25882,2,3,1.5478,0.148545,0.226177,SIMULADO_CONTROLADO
2.71354,12.32663,13.20817,354.958,4200.0,4000.0,3.565,10.8245,1.2639,1.071,0.96593,0.25882,3,4,1.9208,0.250684,0.401917,SIMULADO_CONTROLADO
2.13939,3.37081,38.08085,373.34,4200.0,500.0,2.766,9.7367,1.0,0.98,-0.25882,0.96593,1,1,0.6209,0.219725,0.255153,SIMULADO_CONTROLADO
1.62539,2.02483,48.16386,1447.086,2200.0,1800.0,3.788,12.2892,1.2682,1.0379,-0.25882,0.96593,2,2,0.8198,0.132262,0.203501,SIMULADO_CONTROLADO
0.904,2.30782,23.50265,748.72,6500.0,2500.0,5.187,8.0883,1.2327,0.98,0.25882,0.96593,0,1,0.2005,0.111767,0.153612,SIMULADO_CONTROLADO
2.01707,3.89398,31.07974,626.902,9000.0,1800.0,3.29,7.1623,1.4016,0.98,-0.70711,-0.70711,1,4,5.6794,0.281621,0.46687,SIMULADO_CONTROLADO
0.46155,0.92146,30.05335,891.696,9000.0,1200.0,6.211,4.5059,1.2511,0.987,0.70711,-0.70711,1,0,1.6681,0.102432,0.159524,SIMULADO_CONTROLADO
0.21281,0.68318,18.68964,430.617,9000.0,1200.0,2.355,6.5846,1.3294,1.0267,1.0,0.0,3,0,0.0,0.032319,0.051513,SIMULADO_CONTROLADO
0.71962,2.29952,18.77671,4357.638,1400.0,7000.0,3.582,14.0418,1.2363,1.0032,-0.25882,0.96593,0,0,3.0434,0.051249,0.079313,SIMULADO_CONTROLADO
3.20953,5.96284,32.29531,670.858,1400.0,800.0,4.389,12.6921,1.3168,1.0848,0.70711,-0.70711,1,2,0.8121,0.252877,0.431254,SIMULADO_CONTROLADO
2.38012,3.28424,43.48256,1156.915,4200.0,1800.0,4.079,10.8542,1.0,1.0387,-0.25882,-0.96593,1,5,2.4066,0.219281,0.277592,SIMULADO_CONTROLADO
3.23238,8.35879,23.20227,829.315,6500.0,1200.0,6.219,8.2622,1.1405,1.013,0.96593,-0.25882,3,2,1.9339,0.391225,0.620716,SIMULADO_CONTROLADO
1.10817,3.68286,18.05389,3099.064,2800.0,4000.0,2.919,11.4627,1.1538,0.98,-0.86603,-0.5,3,1,5.6294,0.096676,0.145013,SIMULADO_CONTROLADO
4.09187,9.66825,25.39362,1974.833,1400.0,4000.0,3.201,14.5271,1.121,1.0451,1.0,0.0,0,1,1.6944,0.281671,0.394085,SIMULADO_CONTROLADO
0.52258,1.18237,26.51877,2745.122,1400.0,4000.0,4.357,12.3309,1.231,1.1277,0.86603,-0.5,0,1,4.2138,0.04238,0.075655,SIMULADO_CONTROLADO
0.74636,2.3604,18.97192,311.821,900.0,500.0,4.361,12.8533,1.2615,1.0034,-0.86603,-0.5,3,1,3.9921,0.058067,0.095168,SIMULADO_CONTROLADO
